https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1621468800,2021-05-20 00:00:00,LTC/USDT,186.067,224.89,166.6,210.597,113678.28669066,23159944.50803388347
1621382400,2021-05-19 00:00:00,LTC/USDT,294.004,300.2,140.225,185.774,245979.22480808,55767993.22207346407
1621296000,2021-05-18 00:00:00,LTC/USDT,281.28,317.947,278.442,293.829,126789.3669887,38148467.10445246762
1621209600,2021-05-17 00:00:00,LTC/USDT,295.877,296.314,261.328,281.017,119306.50917621,33425132.64576392931
1621123200,2021-05-16 00:00:00,LTC/USDT,300.171,323.835,278.269,296.009,84669.61451308,25418130.70560471299
1621036800,2021-05-15 00:00:00,LTC/USDT,326.19,331.882,296.196,299.352,71051.57788299,22205205.9741224785
1620950400,2021-05-14 00:00:00,LTC/USDT,317.909,338.833,308,326.234,78121.68590964,25302897.45404412666
1620864000,2021-05-13 00:00:00,LTC/USDT,305.007,332.546,291.085,317.87,188000.86642769,59272574.54280287771
1620777600,2021-05-12 00:00:00,LTC/USDT,377.856,393.929,297.5,305.007,178520.59504425,63703907.5731885933
1620691200,2021-05-11 00:00:00,LTC/USDT,359,379.8,345.088,377.856,109578.15529259,39477355.16496460572
1620604800,2021-05-10 00:00:00,LTC/USDT,387.749,413.133,335,359.219,185072.50480173,70927657.85996979878
1620518400,2021-05-09 00:00:00,LTC/USDT,347.362,388.912,332.752,387.992,128411.54451315,46003208.66783347752
1620432000,2021-05-08 00:00:00,LTC/USDT,344.834,356.587,334.17,347.362,64509.52752991,22272713.29846309173
1620345600,2021-05-07 00:00:00,LTC/USDT,354.446,372.513,333.753,344.422,129745.7571528,46106563.34367491151
1620259200,2021-05-06 00:00:00,LTC/USDT,355.963,365.083,316.826,354.445,159083.14968091,54383923.25951881322
1620172800,2021-05-05 00:00:00,LTC/USDT,305.135,360,300.663,356.128,192965.3646584,65633439.6497145094
1620086400,2021-05-04 00:00:00,LTC/USDT,294.58,327.853,270.356,305.166,229157.580972,69175994.7324467524
1620000000,2021-05-03 00:00:00,LTC/USDT,268.745,299.59,268.49,294.571,79989.08876511,22922233.05740041004
1619913600,2021-05-02 00:00:00,LTC/USDT,277.058,277.439,264.624,268.808,31652.03840567,8551244.46975139543
1619827200,2021-05-01 00:00:00,LTC/USDT,271.137,278.557,265.878,276.708,34282.74573407,9316795.78020875132
1619740800,2021-04-30 00:00:00,LTC/USDT,255.276,273.478,252.636,271.164,54430.3733872,14366484.07612078218
1619654400,2021-04-29 00:00:00,LTC/USDT,258.57,262.767,248.479,255.275,48702.25540887,12389043.31040131614
1619568000,2021-04-28 00:00:00,LTC/USDT,260,266.8,248.11,258.466,52196.07005055,13370771.42208844786
1619481600,2021-04-27 00:00:00,LTC/USDT,247.253,263.211,243.743,259.731,54597.91166988,13906987.73063657039
1619395200,2021-04-26 00:00:00,LTC/USDT,223.899,248.115,221.228,247.391,57083.52617851,13716875.47311824644
1619308800,2021-04-25 00:00:00,LTC/USDT,224.872,235.687,210.789,223.775,45860.67302484,10326856.41683761152
1619222400,2021-04-24 00:00:00,LTC/USDT,241.282,241.36,220.324,225.109,57364.51472381,13185896.77951636175
1619136000,2021-04-23 00:00:00,LTC/USDT,252.534,257.043,206.001,241.276,171057.85657471,39573927.0160266287
1619049600,2021-04-22 00:00:00,LTC/USDT,257.84,289.822,238.695,252.921,142183.98293024,38194140.62594488068
1618963200,2021-04-21 00:00:00,LTC/USDT,260.68,276.856,250.825,257.617,117155.57691727,30953327.09557507528
1618876800,2021-04-20 00:00:00,LTC/USDT,261.288,274.137,234.36,260.701,166281.55992011,42441041.67971779235
1618790400,2021-04-19 00:00:00,LTC/USDT,273.341,281.78,243.216,261.265,194019.25643219,51692410.59475024418
1618704000,2021-04-18 00:00:00,LTC/USDT,300.889,305.612,222.001,273.7,261211.64781714,69402484.80916697447
1618617600,2021-04-17 00:00:00,LTC/USDT,308.271,335.326,296.77,300.758,206839.95073061,65430802.78007593264
1618531200,2021-04-16 00:00:00,LTC/USDT,285.999,325,264.138,308.2,246591.12829969,72588626.67413350858
1618444800,2021-04-15 00:00:00,LTC/USDT,278.808,291.536,265.216,285.999,119521.59653728,33356444.94773082791
1618358400,2021-04-14 00:00:00,LTC/USDT,267.488,284.291,254.241,278.758,156629.3297887,42377661.18027828825
1618272000,2021-04-13 00:00:00,LTC/USDT,244.638,273.473,244.404,267.458,128733.88671236,33860473.98153716198
1618185600,2021-04-12 00:00:00,LTC/USDT,252.46,259.259,239.919,244.439,87515.4280503,21811001.38651220849
1618099200,2021-04-11 00:00:00,LTC/USDT,256.335,263.593,244.934,252.263,141059.23119792,35771183.13774436214
1618012800,2021-04-10 00:00:00,LTC/USDT,221.131,256.65,219.068,256.275,139548.97628418,33255686.27041495129
1617926400,2021-04-09 00:00:00,LTC/USDT,226.11,228.944,217.745,220.85,46137.46925334,10358359.43684539043
1617840000,2021-04-08 00:00:00,LTC/USDT,218.743,228.865,216.99,226.182,55184.48981613,12341271.50605810894
1617753600,2021-04-07 00:00:00,LTC/USDT,237.001,243.566,209.376,219.16,125763.05052052,28343750.42678375837
1617667200,2021-04-06 00:00:00,LTC/USDT,221.532,249,211.825,236.669,167877.40906875,38791203.84442028005
1617580800,2021-04-05 00:00:00,LTC/USDT,202.278,225.308,198.08,221.48,120698.18219024,25661622.59302041155
1617494400,2021-04-04 00:00:00,LTC/USDT,195.065,204.621,192.325,202.264,30078.80875015,6034932.62418319146
1617408000,2021-04-03 00:00:00,LTC/USDT,211.45,217.812,194.96,195.206,64336.0259283,13323837.08502499444
1617321600,2021-04-02 00:00:00,LTC/USDT,202.69,213.748,200.829,211.451,51932.93866595,10719066.76948514627
1617235200,2021-04-01 00:00:00,LTC/USDT,196.854,204.939,194.161,202.69,47796.50961742,9527515.5242676391
1617148800,2021-03-31 00:00:00,LTC/USDT,195.685,198.921,187,196.681,44009.74138988,8494103.48317566972
1617062400,2021-03-30 00:00:00,LTC/USDT,193.703,200,190.28,195.631,38634.63559482,7542551.54680775946
1616976000,2021-03-29 00:00:00,LTC/USDT,184.169,197.521,182.461,193.778,37809.23033662,7281864.54792882451
